"","Industry","AgeRange","Gender","Year","NLT_Claims","LT_Claims"
"242","Automotive","25-29","Female","X2018",208,52
"243","Automotive","25-29","Female","X2019",233,34
"244","Automotive","25-29","Male","X2011",523,110
"245","Automotive","25-29","Male","X2012",560,89
"246","Automotive","25-29","Male","X2013",539,93
"247","Automotive","25-29","Male","X2014",539,94
"248","Automotive","25-29","Male","X2015",552,81
"249","Automotive","25-29","Male","X2016",628,94
"250","Automotive","25-29","Male","X2017",646,124
"251","Automotive","25-29","Male","X2018",696,149
"252","Automotive","25-29","Male","X2019",571,106
"253","Automotive","30-34","Female","X2011",197,49
"254","Automotive","30-34","Female","X2012",224,28
"255","Automotive","30-34","Female","X2013",197,40
"256","Automotive","30-34","Female","X2014",189,46
"257","Automotive","30-34","Female","X2015",180,35
"258","Automotive","30-34","Female","X2016",200,42
"259","Automotive","30-34","Female","X2017",190,45
"260","Automotive","30-34","Female","X2018",193,29
"261","Automotive","30-34","Female","X2019",177,43
"262","Automotive","30-34","Male","X2011",698,129
"263","Automotive","30-34","Male","X2012",711,126
"264","Automotive","30-34","Male","X2013",613,127
"265","Automotive","30-34","Male","X2014",547,115
"266","Automotive","30-34","Male","X2015",623,80
"267","Automotive","30-34","Male","X2016",632,104
"268","Automotive","30-34","Male","X2017",596,104
"269","Automotive","30-34","Male","X2018",572,118
"270","Automotive","30-34","Male","X2019",513,83
"271","Automotive","35-39","Female","X2011",309,64
"272","Automotive","35-39","Female","X2012",275,75
"273","Automotive","35-39","Female","X2013",294,47
"274","Automotive","35-39","Female","X2014",231,49
"275","Automotive","35-39","Female","X2015",205,33
"276","Automotive","35-39","Female","X2016",227,53
"277","Automotive","35-39","Female","X2017",221,45
"278","Automotive","35-39","Female","X2018",223,43
"279","Automotive","35-39","Female","X2019",225,38
"280","Automotive","35-39","Male","X2011",813,180
"281","Automotive","35-39","Male","X2012",828,176
"282","Automotive","35-39","Male","X2013",716,131
"283","Automotive","35-39","Male","X2014",683,137
"284","Automotive","35-39","Male","X2015",653,114
"285","Automotive","35-39","Male","X2016",657,139
"286","Automotive","35-39","Male","X2017",576,125
"287","Automotive","35-39","Male","X2018",620,137
"288","Automotive","35-39","Male","X2019",509,96
"289","Automotive","40-44","Female","X2011",327,96
"290","Automotive","40-44","Female","X2012",369,76
"291","Automotive","40-44","Female","X2013",344,77
"292","Automotive","40-44","Female","X2014",319,77
"293","Automotive","40-44","Female","X2015",307,61
"294","Automotive","40-44","Female","X2016",299,70
"295","Automotive","40-44","Female","X2017",279,72
"296","Automotive","40-44","Female","X2018",262,56
"297","Automotive","40-44","Female","X2019",299,35
"298","Automotive","40-44","Male","X2011",918,217
"299","Automotive","40-44","Male","X2012",841,213
"300","Automotive","40-44","Male","X2013",876,172
"301","Automotive","40-44","Male","X2014",850,156
"302","Automotive","40-44","Male","X2015",690,131
"303","Automotive","40-44","Male","X2016",663,149
"304","Automotive","40-44","Male","X2017",664,130
"305","Automotive","40-44","Male","X2018",601,158
"306","Automotive","40-44","Male","X2019",568,100
"307","Automotive","45-49","Female","X2011",425,129
"308","Automotive","45-49","Female","X2012",426,96
"309","Automotive","45-49","Female","X2013",430,83
"310","Automotive","45-49","Female","X2014",371,86
"311","Automotive","45-49","Female","X2015",298,63
"312","Automotive","45-49","Female","X2016",306,81
"313","Automotive","45-49","Female","X2017",377,94
"314","Automotive","45-49","Female","X2018",342,73
"315","Automotive","45-49","Female","X2019",325,57
"316","Automotive","45-49","Male","X2011",1086,265
"317","Automotive","45-49","Male","X2012",1025,250
"318","Automotive","45-49","Male","X2013",989,214
"319","Automotive","45-49","Male","X2014",864,154
"320","Automotive","45-49","Male","X2015",794,155
"321","Automotive","45-49","Male","X2016",791,173
"322","Automotive","45-49","Male","X2017",704,159
"323","Automotive","45-49","Male","X2018",703,170
"324","Automotive","45-49","Male","X2019",580,132
"325","Automotive","50-54","Female","X2011",363,72
"326","Automotive","50-54","Female","X2012",380,86
"327","Automotive","50-54","Female","X2013",378,79
"328","Automotive","50-54","Female","X2014",398,88
"329","Automotive","50-54","Female","X2015",385,89
"330","Automotive","50-54","Female","X2016",348,75
"331","Automotive","50-54","Female","X2017",363,73
"332","Automotive","50-54","Female","X2018",373,85
"333","Automotive","50-54","Female","X2019",316,80
"334","Automotive","50-54","Male","X2011",879,211
"335","Automotive","50-54","Male","X2012",926,243
"336","Automotive","50-54","Male","X2013",916,164
"337","Automotive","50-54","Male","X2014",899,188
"338","Automotive","50-54","Male","X2015",827,161
"339","Automotive","50-54","Male","X2016",737,200
"340","Automotive","50-54","Male","X2017",761,159
"341","Automotive","50-54","Male","X2018",742,178
"342","Automotive","50-54","Male","X2019",652,163
"343","Automotive","55-59","Female","X2011",178,63
"344","Automotive","55-59","Female","X2012",196,47
"345","Automotive","55-59","Female","X2013",206,41
"346","Automotive","55-59","Female","X2014",215,38
"347","Automotive","55-59","Female","X2015",229,46
"348","Automotive","55-59","Female","X2016",241,60
"349","Automotive","55-59","Female","X2017",256,55
"350","Automotive","55-59","Female","X2018",273,82
"351","Automotive","55-59","Female","X2019",268,72
"352","Automotive","55-59","Male","X2011",456,128
"353","Automotive","55-59","Male","X2012",530,135
"354","Automotive","55-59","Male","X2013",527,113
"355","Automotive","55-59","Male","X2014",587,121
"356","Automotive","55-59","Male","X2015",609,104
"357","Automotive","55-59","Male","X2016",552,128
"358","Automotive","55-59","Male","X2017",607,152
"359","Automotive","55-59","Male","X2018",604,163
"360","Automotive","55-59","Male","X2019",609,144
"361","Automotive","60-64","Female","X2011",47,14
"362","Automotive","60-64","Female","X2012",66,8
"363","Automotive","60-64","Female","X2013",81,19
"364","Automotive","60-64","Female","X2014",92,23
"365","Automotive","60-64","Female","X2015",91,34
"366","Automotive","60-64","Female","X2016",97,30
"367","Automotive","60-64","Female","X2017",110,38
"368","Automotive","60-64","Female","X2018",104,32
"369","Automotive","60-64","Female","X2019",148,41
"370","Automotive","60-64","Male","X2011",212,42
"371","Automotive","60-64","Male","X2012",221,50
"372","Automotive","60-64","Male","X2013",243,50
"373","Automotive","60-64","Male","X2014",261,53
"374","Automotive","60-64","Male","X2015",265,59
"375","Automotive","60-64","Male","X2016",275,61
"376","Automotive","60-64","Male","X2017",305,68
"377","Automotive","60-64","Male","X2018",333,96
"378","Automotive","60-64","Male","X2019",315,97
"379","Automotive","65+","Female","X2011",6,3
"380","Automotive","65+","Female","X2012",15,4
"381","Automotive","65+","Female","X2013",7,7
"382","Automotive","65+","Female","X2014",21,1
"383","Automotive","65+","Female","X2015",15,6
"384","Automotive","65+","Female","X2016",23,3
"385","Automotive","65+","Female","X2017",21,7
"386","Automotive","65+","Female","X2018",29,7
"387","Automotive","65+","Female","X2019",31,7
"388","Automotive","65+","Male","X2011",70,6
"389","Automotive","65+","Male","X2012",60,7
"390","Automotive","65+","Male","X2013",76,9
"391","Automotive","65+","Male","X2014",104,9
"392","Automotive","65+","Male","X2015",116,15
"393","Automotive","65+","Male","X2016",98,14
"394","Automotive","65+","Male","X2017",150,20
"395","Automotive","65+","Male","X2018",160,23
"396","Automotive","65+","Male","X2019",167,32
"397","Chemicals/Process","15-19","Female","X2011",2,2
"398","Chemicals/Process","15-19","Female","X2012",6,1
"399","Chemicals/Process","15-19","Female","X2013",3,0
"400","Chemicals/Process","15-19","Female","X2014",6,1
"401","Chemicals/Process","15-19","Female","X2015",2,0
"402","Chemicals/Process","15-19","Female","X2016",10,0
"403","Chemicals/Process","15-19","Female","X2017",10,2
"404","Chemicals/Process","15-19","Female","X2018",11,5
"405","Chemicals/Process","15-19","Female","X2019",8,1
"406","Chemicals/Process","15-19","Male","X2011",27,6
"407","Chemicals/Process","15-19","Male","X2012",36,5
"408","Chemicals/Process","15-19","Male","X2013",28,4
"409","Chemicals/Process","15-19","Male","X2014",30,5
"410","Chemicals/Process","15-19","Male","X2015",31,4
"411","Chemicals/Process","15-19","Male","X2016",31,2
"412","Chemicals/Process","15-19","Male","X2017",26,11
"413","Chemicals/Process","15-19","Male","X2018",46,12
"414","Chemicals/Process","15-19","Male","X2019",31,13
"415","Chemicals/Process","20-24","Female","X2011",28,5
"416","Chemicals/Process","20-24","Female","X2012",25,4
"417","Chemicals/Process","20-24","Female","X2013",28,7
"418","Chemicals/Process","20-24","Female","X2014",28,6
"419","Chemicals/Process","20-24","Female","X2015",50,11
"420","Chemicals/Process","20-24","Female","X2016",28,18
"421","Chemicals/Process","20-24","Female","X2017",42,17
"422","Chemicals/Process","20-24","Female","X2018",73,5
"423","Chemicals/Process","20-24","Female","X2019",52,17
"424","Chemicals/Process","20-24","Male","X2011",143,40
"425","Chemicals/Process","20-24","Male","X2012",139,44
"426","Chemicals/Process","20-24","Male","X2013",129,26
"427","Chemicals/Process","20-24","Male","X2014",131,22
"428","Chemicals/Process","20-24","Male","X2015",126,33
"429","Chemicals/Process","20-24","Male","X2016",136,34
"430","Chemicals/Process","20-24","Male","X2017",152,44
"431","Chemicals/Process","20-24","Male","X2018",150,47
"432","Chemicals/Process","20-24","Male","X2019",151,52
"433","Chemicals/Process","25-29","Female","X2011",40,18
"434","Chemicals/Process","25-29","Female","X2012",38,17
"435","Chemicals/Process","25-29","Female","X2013",36,17
"436","Chemicals/Process","25-29","Female","X2014",43,11
"437","Chemicals/Process","25-29","Female","X2015",39,13
"438","Chemicals/Process","25-29","Female","X2016",40,16
"439","Chemicals/Process","25-29","Female","X2017",44,21
"440","Chemicals/Process","25-29","Female","X2018",70,36
"441","Chemicals/Process","25-29","Female","X2019",77,23
"442","Chemicals/Process","25-29","Male","X2011",163,41
"443","Chemicals/Process","25-29","Male","X2012",166,44
"444","Chemicals/Process","25-29","Male","X2013",150,45
"445","Chemicals/Process","25-29","Male","X2014",155,43
"446","Chemicals/Process","25-29","Male","X2015",152,53
"447","Chemicals/Process","25-29","Male","X2016",170,56
"448","Chemicals/Process","25-29","Male","X2017",203,60
"449","Chemicals/Process","25-29","Male","X2018",194,68
"450","Chemicals/Process","25-29","Male","X2019",195,59
"451","Chemicals/Process","30-34","Female","X2011",45,21
"452","Chemicals/Process","30-34","Female","X2012",48,11
"453","Chemicals/Process","30-34","Female","X2013",53,13
"454","Chemicals/Process","30-34","Female","X2014",48,9
"455","Chemicals/Process","30-34","Female","X2015",44,19
"456","Chemicals/Process","30-34","Female","X2016",36,20
"457","Chemicals/Process","30-34","Female","X2017",61,21
"458","Chemicals/Process","30-34","Female","X2018",45,21
"459","Chemicals/Process","30-34","Female","X2019",59,23
"460","Chemicals/Process","30-34","Male","X2011",179,65
"461","Chemicals/Process","30-34","Male","X2012",209,43
"462","Chemicals/Process","30-34","Male","X2013",173,56
"463","Chemicals/Process","30-34","Male","X2014",183,45
"464","Chemicals/Process","30-34","Male","X2015",170,45
"465","Chemicals/Process","30-34","Male","X2016",154,71
"466","Chemicals/Process","30-34","Male","X2017",186,48
"467","Chemicals/Process","30-34","Male","X2018",180,65
"468","Chemicals/Process","30-34","Male","X2019",182,62
"469","Chemicals/Process","35-39","Female","X2011",81,22
"470","Chemicals/Process","35-39","Female","X2012",70,16
"471","Chemicals/Process","35-39","Female","X2013",61,19
"472","Chemicals/Process","35-39","Female","X2014",43,25
"473","Chemicals/Process","35-39","Female","X2015",42,21
"474","Chemicals/Process","35-39","Female","X2016",61,17
"475","Chemicals/Process","35-39","Female","X2017",59,22
"476","Chemicals/Process","35-39","Female","X2018",64,25
"477","Chemicals/Process","35-39","Female","X2019",76,22
"478","Chemicals/Process","35-39","Male","X2011",211,69
"479","Chemicals/Process","35-39","Male","X2012",239,64
"480","Chemicals/Process","35-39","Male","X2013",191,45
"481","Chemicals/Process","35-39","Male","X2014",186,51
"482","Chemicals/Process","35-39","Male","X2015",161,36
"483","Chemicals/Process","35-39","Male","X2016",160,59
"484","Chemicals/Process","35-39","Male","X2017",190,58
"485","Chemicals/Process","35-39","Male","X2018",173,60
"486","Chemicals/Process","35-39","Male","X2019",166,70
"487","Chemicals/Process","40-44","Female","X2011",94,38
"488","Chemicals/Process","40-44","Female","X2012",90,31
"489","Chemicals/Process","40-44","Female","X2013",83,25
"490","Chemicals/Process","40-44","Female","X2014",69,31
"491","Chemicals/Process","40-44","Female","X2015",82,25
"492","Chemicals/Process","40-44","Female","X2016",66,34
"493","Chemicals/Process","40-44","Female","X2017",72,28
"494","Chemicals/Process","40-44","Female","X2018",90,18
"495","Chemicals/Process","40-44","Female","X2019",97,24
"496","Chemicals/Process","40-44","Male","X2011",256,88
"497","Chemicals/Process","40-44","Male","X2012",209,72
"498","Chemicals/Process","40-44","Male","X2013",229,65
"499","Chemicals/Process","40-44","Male","X2014",215,62
"500","Chemicals/Process","40-44","Male","X2015",202,44
"501","Chemicals/Process","40-44","Male","X2016",192,59
"502","Chemicals/Process","40-44","Male","X2017",196,65
"503","Chemicals/Process","40-44","Male","X2018",178,49
"504","Chemicals/Process","40-44","Male","X2019",178,60
"505","Chemicals/Process","45-49","Female","X2011",132,47
"506","Chemicals/Process","45-49","Female","X2012",84,46
"507","Chemicals/Process","45-49","Female","X2013",120,34
"508","Chemicals/Process","45-49","Female","X2014",98,30
"509","Chemicals/Process","45-49","Female","X2015",90,28
"510","Chemicals/Process","45-49","Female","X2016",75,32
"511","Chemicals/Process","45-49","Female","X2017",93,30
"512","Chemicals/Process","45-49","Female","X2018",108,32
"513","Chemicals/Process","45-49","Female","X2019",91,39
"514","Chemicals/Process","45-49","Male","X2011",336,83
"515","Chemicals/Process","45-49","Male","X2012",299,77
"516","Chemicals/Process","45-49","Male","X2013",243,68
"517","Chemicals/Process","45-49","Male","X2014",257,72
"518","Chemicals/Process","45-49","Male","X2015",257,51
"519","Chemicals/Process","45-49","Male","X2016",203,71
"520","Chemicals/Process","45-49","Male","X2017",215,60
"521","Chemicals/Process","45-49","Male","X2018",218,81
"522","Chemicals/Process","45-49","Male","X2019",170,76
"523","Chemicals/Process","50-54","Female","X2011",105,42
"524","Chemicals/Process","50-54","Female","X2012",107,28
"525","Chemicals/Process","50-54","Female","X2013",109,36
"526","Chemicals/Process","50-54","Female","X2014",93,25
"527","Chemicals/Process","50-54","Female","X2015",109,33
"528","Chemicals/Process","50-54","Female","X2016",100,36
"529","Chemicals/Process","50-54","Female","X2017",103,43
"530","Chemicals/Process","50-54","Female","X2018",114,36
"531","Chemicals/Process","50-54","Female","X2019",95,37
"532","Chemicals/Process","50-54","Male","X2011",287,92
"533","Chemicals/Process","50-54","Male","X2012",237,68
"534","Chemicals/Process","50-54","Male","X2013",229,83
"535","Chemicals/Process","50-54","Male","X2014",240,69
"536","Chemicals/Process","50-54","Male","X2015",244,63
"537","Chemicals/Process","50-54","Male","X2016",253,69
"538","Chemicals/Process","50-54","Male","X2017",245,80
"539","Chemicals/Process","50-54","Male","X2018",231,67
"540","Chemicals/Process","50-54","Male","X2019",228,73
"541","Chemicals/Process","55-59","Female","X2011",72,25
"542","Chemicals/Process","55-59","Female","X2012",81,32
"543","Chemicals/Process","55-59","Female","X2013",72,27
"544","Chemicals/Process","55-59","Female","X2014",88,30
"545","Chemicals/Process","55-59","Female","X2015",72,21
"546","Chemicals/Process","55-59","Female","X2016",67,34
"547","Chemicals/Process","55-59","Female","X2017",81,41
"548","Chemicals/Process","55-59","Female","X2018",91,43
"549","Chemicals/Process","55-59","Female","X2019",102,46
"550","Chemicals/Process","55-59","Male","X2011",194,57
"551","Chemicals/Process","55-59","Male","X2012",188,68
"552","Chemicals/Process","55-59","Male","X2013",189,58
"553","Chemicals/Process","55-59","Male","X2014",207,69
"554","Chemicals/Process","55-59","Male","X2015",201,64
"555","Chemicals/Process","55-59","Male","X2016",213,77
"556","Chemicals/Process","55-59","Male","X2017",224,65
"557","Chemicals/Process","55-59","Male","X2018",217,86
"558","Chemicals/Process","55-59","Male","X2019",225,74
"559","Chemicals/Process","60-64","Female","X2011",32,13
"560","Chemicals/Process","60-64","Female","X2012",27,8
"561","Chemicals/Process","60-64","Female","X2013",29,13
"562","Chemicals/Process","60-64","Female","X2014",31,17
"563","Chemicals/Process","60-64","Female","X2015",39,12
"564","Chemicals/Process","60-64","Female","X2016",41,19
"565","Chemicals/Process","60-64","Female","X2017",45,19
"566","Chemicals/Process","60-64","Female","X2018",57,28
"567","Chemicals/Process","60-64","Female","X2019",46,24
"568","Chemicals/Process","60-64","Male","X2011",107,33
