Industry Sector,Injury/Illness Year,Age Group,Gender,NoLostTime
Chemicals/Process,2015,NA,Female,0
Chemicals/Process,2016,15-19,Female,10
Chemicals/Process,2016,20-24,Female,28
Chemicals/Process,2016,25-29,Female,40
Chemicals/Process,2016,30-34,Female,36
Chemicals/Process,2016,35-39,Female,61
Chemicals/Process,2016,40-44,Female,66
Chemicals/Process,2016,45-49,Female,75
Chemicals/Process,2016,50-54,Female,100
Chemicals/Process,2016,55-59,Female,67
Chemicals/Process,2016,60-64,Female,41
Chemicals/Process,2016,65+,Female,13
Chemicals/Process,2016,NA,Female,0
Chemicals/Process,2017,15-19,Female,10
Chemicals/Process,2017,20-24,Female,42
Chemicals/Process,2017,25-29,Female,44
Chemicals/Process,2017,30-34,Female,61
Chemicals/Process,2017,35-39,Female,59
Chemicals/Process,2017,40-44,Female,72
Chemicals/Process,2017,45-49,Female,93
Chemicals/Process,2017,50-54,Female,103
Chemicals/Process,2017,55-59,Female,81
Chemicals/Process,2017,60-64,Female,45
Chemicals/Process,2017,65+,Female,20
Chemicals/Process,2017,NA,Female,0
Chemicals/Process,2018,15-19,Female,11
Chemicals/Process,2018,20-24,Female,73
Chemicals/Process,2018,25-29,Female,70
Chemicals/Process,2018,30-34,Female,45
Chemicals/Process,2018,35-39,Female,64
Chemicals/Process,2018,40-44,Female,90
Chemicals/Process,2018,45-49,Female,108
Chemicals/Process,2018,50-54,Female,114
Chemicals/Process,2018,55-59,Female,91
Chemicals/Process,2018,60-64,Female,57
Chemicals/Process,2018,65+,Female,17
Chemicals/Process,2018,NA,Female,1
Chemicals/Process,2019,15-19,Female,8
Chemicals/Process,2019,20-24,Female,52
Chemicals/Process,2019,25-29,Female,77
Chemicals/Process,2019,30-34,Female,59
Chemicals/Process,2019,35-39,Female,76
Chemicals/Process,2019,40-44,Female,97
Chemicals/Process,2019,45-49,Female,91
Chemicals/Process,2019,50-54,Female,95
Chemicals/Process,2019,55-59,Female,102
Chemicals/Process,2019,60-64,Female,46
Chemicals/Process,2019,65+,Female,21
Chemicals/Process,2019,NA,Female,0
Construction,2011,15-19,Female,7
Construction,2011,20-24,Female,41
Construction,2011,25-29,Female,55
Construction,2011,30-34,Female,38
Construction,2011,35-39,Female,36
Construction,2011,40-44,Female,23
Construction,2011,45-49,Female,35
Construction,2011,50-54,Female,25
Construction,2011,55-59,Female,12
Construction,2011,60-64,Female,6
Construction,2011,65+,Female,1
Construction,2011,NA,Female,2
Construction,2012,15-19,Female,17
Construction,2012,20-24,Female,54
Construction,2012,25-29,Female,39
Construction,2012,30-34,Female,31
Construction,2012,35-39,Female,26
Construction,2012,40-44,Female,32
Construction,2012,45-49,Female,34
Construction,2012,50-54,Female,27
Construction,2012,55-59,Female,21
Construction,2012,60-64,Female,11
Construction,2012,65+,Female,3
Construction,2012,NA,Female,3
Construction,2013,15-19,Female,9
Construction,2013,20-24,Female,53
Construction,2013,25-29,Female,57
Construction,2013,30-34,Female,48
Construction,2013,35-39,Female,39
Construction,2013,40-44,Female,20
Construction,2013,45-49,Female,42
Construction,2013,50-54,Female,31
Construction,2013,55-59,Female,15
Construction,2013,60-64,Female,11
Construction,2013,65+,Female,8
Construction,2013,NA,Female,1
Construction,2014,15-19,Female,11
Construction,2014,20-24,Female,73
Construction,2014,25-29,Female,58
Construction,2014,30-34,Female,35
Construction,2014,35-39,Female,35
Construction,2014,40-44,Female,40
Construction,2014,45-49,Female,40
Construction,2014,50-54,Female,39
Construction,2014,55-59,Female,19
Construction,2014,60-64,Female,7
Construction,2014,65+,Female,5
Construction,2014,NA,Female,2
Construction,2015,15-19,Female,24
Construction,2015,20-24,Female,56
Construction,2015,25-29,Female,61
Construction,2015,30-34,Female,51
Construction,2015,35-39,Female,49
Construction,2015,40-44,Female,22
Construction,2015,45-49,Female,32
Construction,2015,50-54,Female,40
Construction,2015,55-59,Female,23
Construction,2015,60-64,Female,6
Construction,2015,65+,Female,9
Construction,2015,NA,Female,0
Construction,2016,15-19,Female,17
Construction,2016,20-24,Female,59
Construction,2016,25-29,Female,73
Construction,2016,30-34,Female,56
Construction,2016,35-39,Female,39
Construction,2016,40-44,Female,34
Construction,2016,45-49,Female,37
Construction,2016,50-54,Female,47
Construction,2016,55-59,Female,19
Construction,2016,60-64,Female,10
Construction,2016,65+,Female,6
Construction,2016,NA,Female,0
Construction,2017,15-19,Female,13
Construction,2017,20-24,Female,61
Construction,2017,25-29,Female,75
Construction,2017,30-34,Female,45
Construction,2017,35-39,Female,42
Construction,2017,40-44,Female,41
Construction,2017,45-49,Female,36
Construction,2017,50-54,Female,34
Construction,2017,55-59,Female,24
Construction,2017,60-64,Female,10
Construction,2017,65+,Female,19
Construction,2017,NA,Female,0
Construction,2018,15-19,Female,13
Construction,2018,20-24,Female,83
Construction,2018,25-29,Female,92
Construction,2018,30-34,Female,70
Construction,2018,35-39,Female,54
Construction,2018,40-44,Female,39
Construction,2018,45-49,Female,33
Construction,2018,50-54,Female,38
Construction,2018,55-59,Female,17
Construction,2018,60-64,Female,18
Construction,2018,65+,Female,15
Construction,2018,NA,Female,0
Construction,2019,15-19,Female,26
Construction,2019,20-24,Female,81
Construction,2019,25-29,Female,105
Construction,2019,30-34,Female,65
Construction,2019,35-39,Female,44
Construction,2019,40-44,Female,38
Construction,2019,45-49,Female,40
Construction,2019,50-54,Female,29
Construction,2019,55-59,Female,34
Construction,2019,60-64,Female,13
Construction,2019,65+,Female,42
Construction,2019,NA,Female,1
Education,2011,15-19,Female,93
Education,2011,20-24,Female,47
Education,2011,25-29,Female,67
Education,2011,30-34,Female,49
Education,2011,35-39,Female,50
Education,2011,40-44,Female,67
Education,2011,45-49,Female,94
Education,2011,50-54,Female,109
Education,2011,55-59,Female,91
Education,2011,60-64,Female,45
Education,2011,65+,Female,7
Education,2011,NA,Female,13
Education,2012,15-19,Female,112
Education,2012,20-24,Female,59
Education,2012,25-29,Female,56
Education,2012,30-34,Female,49
Education,2012,35-39,Female,47
Education,2012,40-44,Female,75
Education,2012,45-49,Female,94
Education,2012,50-54,Female,123
Education,2012,55-59,Female,81
Education,2012,60-64,Female,47
Education,2012,65+,Female,7
Education,2012,NA,Female,3
Education,2013,15-19,Female,114
Education,2013,20-24,Female,74
Education,2013,25-29,Female,56
Education,2013,30-34,Female,64
Education,2013,35-39,Female,60
Education,2013,40-44,Female,67
Education,2013,45-49,Female,81
Education,2013,50-54,Female,102
Education,2013,55-59,Female,86
Education,2013,60-64,Female,47
Education,2013,65+,Female,17
Education,2013,NA,Female,7
Education,2014,15-19,Female,98
Education,2014,20-24,Female,71
Education,2014,25-29,Female,87
Education,2014,30-34,Female,62
Education,2014,35-39,Female,62
Education,2014,40-44,Female,91
Education,2014,45-49,Female,92
Education,2014,50-54,Female,105
Education,2014,55-59,Female,91
Education,2014,60-64,Female,56
Education,2014,65+,Female,17
Education,2014,NA,Female,7
Education,2015,15-19,Female,83
Education,2015,20-24,Female,70
Education,2015,25-29,Female,67
Education,2015,30-34,Female,55
Education,2015,35-39,Female,63
Education,2015,40-44,Female,65
Education,2015,45-49,Female,87
Education,2015,50-54,Female,101
Education,2015,55-59,Female,83
Education,2015,60-64,Female,44
Education,2015,65+,Female,11
Education,2015,NA,Female,1
Education,2016,15-19,Female,98
Education,2016,20-24,Female,64
Education,2016,25-29,Female,64
Education,2016,30-34,Female,51
Education,2016,35-39,Female,61
Education,2016,40-44,Female,67
Education,2016,45-49,Female,62
Education,2016,50-54,Female,96
Education,2016,55-59,Female,78
Education,2016,60-64,Female,66
Education,2016,65+,Female,23
Education,2016,NA,Female,4
Education,2017,15-19,Female,87
Education,2017,20-24,Female,86
Education,2017,25-29,Female,66
Education,2017,30-34,Female,58
Education,2017,35-39,Female,68
Education,2017,40-44,Female,74
Education,2017,45-49,Female,81
Education,2017,50-54,Female,77
Education,2017,55-59,Female,86
Education,2017,60-64,Female,41
Education,2017,65+,Female,19
Education,2017,NA,Female,4
Education,2018,15-19,Female,79
Education,2018,20-24,Female,75
Education,2018,25-29,Female,58
Education,2018,30-34,Female,52
Education,2018,35-39,Female,63
Education,2018,40-44,Female,71
Education,2018,45-49,Female,88
Education,2018,50-54,Female,95
Education,2018,55-59,Female,98
Education,2018,60-64,Female,72
Education,2018,65+,Female,28
Education,2018,NA,Female,1
Education,2019,15-19,Female,79
Education,2019,20-24,Female,80
Education,2019,25-29,Female,79
Education,2019,30-34,Female,56
Education,2019,35-39,Female,87
Education,2019,40-44,Female,72
Education,2019,45-49,Female,86
Education,2019,50-54,Female,110
Education,2019,55-59,Female,120
Education,2019,60-64,Female,66
Education,2019,65+,Female,24
Education,2019,NA,Female,5
Electrical,2011,15-19,Female,1
Electrical,2011,20-24,Female,9
Electrical,2011,25-29,Female,18
Electrical,2011,30-34,Female,30
Electrical,2011,35-39,Female,16
Electrical,2011,40-44,Female,24
Electrical,2011,45-49,Female,38
Electrical,2011,50-54,Female,20
Electrical,2011,55-59,Female,11
Electrical,2011,60-64,Female,5
Electrical,2011,65+,Female,0
Electrical,2011,NA,Female,1
Electrical,2012,15-19,Female,1
Electrical,2012,20-24,Female,7
Electrical,2012,25-29,Female,18
Electrical,2012,30-34,Female,27
Electrical,2012,35-39,Female,12
Electrical,2012,40-44,Female,28
Electrical,2012,45-49,Female,29
Electrical,2012,50-54,Female,22
Electrical,2012,55-59,Female,24
Electrical,2012,60-64,Female,5
Electrical,2012,65+,Female,1
Electrical,2012,NA,Female,0
Electrical,2013,15-19,Female,2
Electrical,2013,20-24,Female,11
Electrical,2013,25-29,Female,15
Electrical,2013,30-34,Female,25
Electrical,2013,35-39,Female,23
Electrical,2013,40-44,Female,17
Electrical,2013,45-49,Female,33
Electrical,2013,50-54,Female,27
Electrical,2013,55-59,Female,16
Electrical,2013,60-64,Female,5
Electrical,2013,65+,Female,1
Electrical,2013,NA,Female,0
Electrical,2014,15-19,Female,1
Electrical,2014,20-24,Female,14
Electrical,2014,25-29,Female,15
Electrical,2014,30-34,Female,20
Electrical,2014,35-39,Female,16
Electrical,2014,40-44,Female,12
Electrical,2014,45-49,Female,22
Electrical,2014,50-54,Female,24
Electrical,2014,55-59,Female,11
Electrical,2014,60-64,Female,5
Electrical,2014,65+,Female,2
Electrical,2014,NA,Female,0
Electrical,2015,15-19,Female,1
Electrical,2015,20-24,Female,11
Electrical,2015,25-29,Female,18
Electrical,2015,30-34,Female,13
Electrical,2015,35-39,Female,7
Electrical,2015,40-44,Female,12
Electrical,2015,45-49,Female,7
Electrical,2015,50-54,Female,16
Electrical,2015,55-59,Female,16
Electrical,2015,60-64,Female,7
Electrical,2015,65+,Female,1
Electrical,2015,NA,Female,0
Electrical,2016,15-19,Female,4
Electrical,2016,20-24,Female,9
Electrical,2016,25-29,Female,12
Electrical,2016,30-34,Female,19
Electrical,2016,35-39,Female,15
Electrical,2016,40-44,Female,19
Electrical,2016,45-49,Female,15
Electrical,2016,50-54,Female,16
Electrical,2016,55-59,Female,15
Electrical,2016,60-64,Female,7
Electrical,2016,65+,Female,3
Electrical,2016,NA,Female,0
Electrical,2017,15-19,Female,3
Electrical,2017,20-24,Female,11
Electrical,2017,25-29,Female,13
Electrical,2017,30-34,Female,14
Electrical,2017,35-39,Female,8
Electrical,2017,40-44,Female,9
Electrical,2017,45-49,Female,13
Electrical,2017,50-54,Female,18
Electrical,2017,55-59,Female,11
Electrical,2017,60-64,Female,4
Electrical,2017,65+,Female,2
Electrical,2017,NA,Female,1
Electrical,2018,15-19,Female,1
Electrical,2018,20-24,Female,16
Electrical,2018,25-29,Female,23
Electrical,2018,30-34,Female,18
Electrical,2018,35-39,Female,19
Electrical,2018,40-44,Female,7
Electrical,2018,45-49,Female,17
Electrical,2018,50-54,Female,16
Electrical,2018,55-59,Female,13
Electrical,2018,60-64,Female,4
Electrical,2018,65+,Female,3
Electrical,2018,NA,Female,0
Electrical,2019,15-19,Female,4
Electrical,2019,20-24,Female,15
Electrical,2019,25-29,Female,17
Electrical,2019,30-34,Female,15
Electrical,2019,35-39,Female,5
Electrical,2019,40-44,Female,14
Electrical,2019,45-49,Female,13
Electrical,2019,50-54,Female,14
Electrical,2019,55-59,Female,14
Electrical,2019,60-64,Female,6
Electrical,2019,65+,Female,4
Electrical,2019,NA,Female,0
Food,2011,15-19,Female,19
Food,2011,20-24,Female,80
Food,2011,25-29,Female,102
Food,2011,30-34,Female,114
Food,2011,35-39,Female,168
Food,2011,40-44,Female,181
Food,2011,45-49,Female,283
Food,2011,50-54,Female,255
Food,2011,55-59,Female,149
Food,2011,60-64,Female,56
Food,2011,65+,Female,24
Food,2011,NA,Female,6
Food,2012,15-19,Female,19
Food,2012,20-24,Female,82
Food,2012,25-29,Female,105
Food,2012,30-34,Female,116
Food,2012,35-39,Female,142
Food,2012,40-44,Female,174
Food,2012,45-49,Female,256
Food,2012,50-54,Female,258
Food,2012,55-59,Female,142
Food,2012,60-64,Female,64
Food,2012,65+,Female,17
Food,2012,NA,Female,1
Food,2013,15-19,Female,19
Food,2013,20-24,Female,63
Food,2013,25-29,Female,96
Food,2013,30-34,Female,115
Food,2013,35-39,Female,109
Food,2013,40-44,Female,172
Food,2013,45-49,Female,225
Food,2013,50-54,Female,287
Food,2013,55-59,Female,176
Food,2013,60-64,Female,72
Food,2013,65+,Female,20
Food,2013,NA,Female,4
Food,2014,15-19,Female,28
Food,2014,20-24,Female,92
Food,2014,25-29,Female,65
Food,2014,30-34,Female,111
Food,2014,35-39,Female,135
Food,2014,40-44,Female,154
Food,2014,45-49,Female,190
Food,2014,50-54,Female,222
Food,2014,55-59,Female,143
Food,2014,60-64,Female,88
Food,2014,65+,Female,16
Food,2014,NA,Female,4
Food,2015,15-19,Female,23
Food,2015,20-24,Female,90
Food,2015,25-29,Female,82
Food,2015,30-34,Female,99
Food,2015,35-39,Female,123
Food,2015,40-44,Female,157
Food,2015,45-49,Female,187
Food,2015,50-54,Female,223
Food,2015,55-59,Female,147
Food,2015,60-64,Female,79
Food,2015,65+,Female,25
Food,2015,NA,Female,2
Food,2016,15-19,Female,30
Food,2016,20-24,Female,111
Food,2016,25-29,Female,94
Food,2016,30-34,Female,111
Food,2016,35-39,Female,110
Food,2016,40-44,Female,130
Food,2016,45-49,Female,181
Food,2016,50-54,Female,191
Food,2016,55-59,Female,162
Food,2016,60-64,Female,70
Food,2016,65+,Female,30
Food,2016,NA,Female,0
Food,2017,15-19,Female,25
Food,2017,20-24,Female,106
Food,2017,25-29,Female,115
Food,2017,30-34,Female,97
Food,2017,35-39,Female,112
Food,2017,40-44,Female,151
Food,2017,45-49,Female,187
Food,2017,50-54,Female,194
Food,2017,55-59,Female,189
Food,2017,60-64,Female,79
Food,2017,65+,Female,17
Food,2017,NA,Female,0
Food,2018,15-19,Female,39
Food,2018,20-24,Female,98
Food,2018,25-29,Female,121
Food,2018,30-34,Female,124
Food,2018,35-39,Female,117
Food,2018,40-44,Female,166
Food,2018,45-49,Female,188
Food,2018,50-54,Female,217
Food,2018,55-59,Female,194
Food,2018,60-64,Female,94
Food,2018,65+,Female,31
Food,2018,NA,Female,0
Food,2019,15-19,Female,33
Food,2019,20-24,Female,121
Food,2019,25-29,Female,124
Food,2019,30-34,Female,96
Food,2019,35-39,Female,121
Food,2019,40-44,Female,171
Food,2019,45-49,Female,191
Food,2019,50-54,Female,210
Food,2019,55-59,Female,199
Food,2019,60-64,Female,102
Food,2019,65+,Female,34
Food,2019,NA,Female,1
Forestry,2011,15-19,Female,2
Forestry,2011,20-24,Female,7
Forestry,2011,25-29,Female,2
Forestry,2011,30-34,Female,2
Forestry,2011,35-39,Female,1
Forestry,2011,40-44,Female,8
Forestry,2011,45-49,Female,4
Forestry,2011,50-54,Female,7
Forestry,2011,55-59,Female,4
Forestry,2011,60-64,Female,1
Forestry,2011,65+,Female,2
Forestry,2011,NA,Female,0
Forestry,2012,15-19,Female,3
Forestry,2012,20-24,Female,5
Forestry,2012,25-29,Female,2
Forestry,2012,30-34,Female,3
Forestry,2012,35-39,Female,5
Forestry,2012,40-44,Female,4
Forestry,2012,45-49,Female,3
Forestry,2012,50-54,Female,5
Forestry,2012,55-59,Female,3
Forestry,2012,60-64,Female,0
Forestry,2012,65+,Female,1
Forestry,2012,NA,Female,0
Forestry,2013,15-19,Female,2
Forestry,2013,20-24,Female,15
Forestry,2013,25-29,Female,7
Forestry,2013,30-34,Female,0
Forestry,2013,35-39,Female,4
Forestry,2013,40-44,Female,6
Forestry,2013,45-49,Female,7
Forestry,2013,50-54,Female,7
Forestry,2013,55-59,Female,7
Forestry,2013,60-64,Female,0
Forestry,2013,65+,Female,3
Forestry,2013,NA,Female,1
Forestry,2014,15-19,Female,8
Forestry,2014,20-24,Female,13
Forestry,2014,25-29,Female,3
Forestry,2014,30-34,Female,3
Forestry,2014,35-39,Female,5
Forestry,2014,40-44,Female,3
Forestry,2014,45-49,Female,1
Forestry,2014,50-54,Female,7
Forestry,2014,55-59,Female,4
Forestry,2014,60-64,Female,1
Forestry,2014,65+,Female,2
Forestry,2014,NA,Female,0
Forestry,2015,15-19,Female,4
Forestry,2015,20-24,Female,13
Forestry,2015,25-29,Female,6
Forestry,2015,30-34,Female,7
Forestry,2015,35-39,Female,0
Forestry,2015,40-44,Female,4
Forestry,2015,45-49,Female,9
Forestry,2015,50-54,Female,9
Forestry,2015,55-59,Female,4
Forestry,2015,60-64,Female,3
Forestry,2015,65+,Female,2
Forestry,2015,NA,Female,0
Forestry,2016,15-19,Female,7
Forestry,2016,20-24,Female,26
Forestry,2016,25-29,Female,7
Forestry,2016,30-34,Female,1
Forestry,2016,35-39,Female,5
Forestry,2016,40-44,Female,8
Forestry,2016,45-49,Female,4
Forestry,2016,50-54,Female,5
Forestry,2016,55-59,Female,3
Forestry,2016,60-64,Female,3
Forestry,2016,65+,Female,1
