Industry Sector,Injury/Illness Year,Age Group,Gender,AllowedLostTime
Agriculture,2016,50-54,Female,18
Agriculture,2016,55-59,Female,27
Agriculture,2016,60-64,Female,7
Agriculture,2016,65+,Female,3
Agriculture,2016,NA,Female,0
Agriculture,2017,15-19,Female,21
Agriculture,2017,20-24,Female,64
Agriculture,2017,25-29,Female,35
Agriculture,2017,30-34,Female,22
Agriculture,2017,35-39,Female,21
Agriculture,2017,40-44,Female,20
Agriculture,2017,45-49,Female,21
Agriculture,2017,50-54,Female,14
Agriculture,2017,55-59,Female,20
Agriculture,2017,60-64,Female,11
Agriculture,2017,65+,Female,5
Agriculture,2017,NA,Female,0
Agriculture,2018,15-19,Female,15
Agriculture,2018,20-24,Female,46
Agriculture,2018,25-29,Female,46
Agriculture,2018,30-34,Female,22
Agriculture,2018,35-39,Female,20
Agriculture,2018,40-44,Female,20
Agriculture,2018,45-49,Female,17
Agriculture,2018,50-54,Female,23
Agriculture,2018,55-59,Female,32
Agriculture,2018,60-64,Female,13
Agriculture,2018,65+,Female,2
Agriculture,2018,NA,Female,1
Agriculture,2019,15-19,Female,30
Agriculture,2019,20-24,Female,65
Agriculture,2019,25-29,Female,41
Agriculture,2019,30-34,Female,33
Agriculture,2019,35-39,Female,27
Agriculture,2019,40-44,Female,17
Agriculture,2019,45-49,Female,31
Agriculture,2019,50-54,Female,27
Agriculture,2019,55-59,Female,17
Agriculture,2019,60-64,Female,6
Agriculture,2019,65+,Female,1
Agriculture,2019,NA,Female,1
Automotive,2011,15-19,Female,6
Automotive,2011,20-24,Female,20
Automotive,2011,25-29,Female,29
Automotive,2011,30-34,Female,49
Automotive,2011,35-39,Female,64
Automotive,2011,40-44,Female,96
Automotive,2011,45-49,Female,129
Automotive,2011,50-54,Female,72
Automotive,2011,55-59,Female,63
Automotive,2011,60-64,Female,14
Automotive,2011,65+,Female,3
Automotive,2011,NA,Female,0
Automotive,2012,15-19,Female,6
Automotive,2012,20-24,Female,26
Automotive,2012,25-29,Female,28
Automotive,2012,30-34,Female,28
Automotive,2012,35-39,Female,75
Automotive,2012,40-44,Female,76
Automotive,2012,45-49,Female,96
Automotive,2012,50-54,Female,86
Automotive,2012,55-59,Female,47
Automotive,2012,60-64,Female,8
Automotive,2012,65+,Female,4
Automotive,2012,NA,Female,0
Automotive,2013,15-19,Female,8
Automotive,2013,20-24,Female,34
Automotive,2013,25-29,Female,40
Automotive,2013,30-34,Female,40
Automotive,2013,35-39,Female,47
Automotive,2013,40-44,Female,77
Automotive,2013,45-49,Female,83
Automotive,2013,50-54,Female,79
Automotive,2013,55-59,Female,41
Automotive,2013,60-64,Female,19
Automotive,2013,65+,Female,7
Automotive,2013,NA,Female,0
Automotive,2014,15-19,Female,12
Automotive,2014,20-24,Female,35
Automotive,2014,25-29,Female,26
Automotive,2014,30-34,Female,46
Automotive,2014,35-39,Female,49
Automotive,2014,40-44,Female,77
Automotive,2014,45-49,Female,86
Automotive,2014,50-54,Female,88
Automotive,2014,55-59,Female,38
Automotive,2014,60-64,Female,23
Automotive,2014,65+,Female,1
Automotive,2014,NA,Female,0
Automotive,2015,15-19,Female,9
Automotive,2015,20-24,Female,25
Automotive,2015,25-29,Female,21
Automotive,2015,30-34,Female,35
Automotive,2015,35-39,Female,33
Automotive,2015,40-44,Female,61
Automotive,2015,45-49,Female,63
Automotive,2015,50-54,Female,89
Automotive,2015,55-59,Female,46
Automotive,2015,60-64,Female,34
Automotive,2015,65+,Female,6
Automotive,2015,NA,Female,0
Automotive,2016,15-19,Female,12
Automotive,2016,20-24,Female,50
Automotive,2016,25-29,Female,33
Automotive,2016,30-34,Female,42
Automotive,2016,35-39,Female,53
Automotive,2016,40-44,Female,70
Automotive,2016,45-49,Female,81
Automotive,2016,50-54,Female,75
Automotive,2016,55-59,Female,60
Automotive,2016,60-64,Female,30
Automotive,2016,65+,Female,3
Automotive,2016,NA,Female,0
Automotive,2017,15-19,Female,9
Automotive,2017,20-24,Female,42
Automotive,2017,25-29,Female,38
Automotive,2017,30-34,Female,45
Automotive,2017,35-39,Female,45
Automotive,2017,40-44,Female,72
Automotive,2017,45-49,Female,94
Automotive,2017,50-54,Female,73
Automotive,2017,55-59,Female,55
Automotive,2017,60-64,Female,38
Automotive,2017,65+,Female,7
Automotive,2017,NA,Female,0
Automotive,2018,15-19,Female,11
Automotive,2018,20-24,Female,30
Automotive,2018,25-29,Female,52
Automotive,2018,30-34,Female,29
Automotive,2018,35-39,Female,43
Automotive,2018,40-44,Female,56
Automotive,2018,45-49,Female,73
Automotive,2018,50-54,Female,85
Automotive,2018,55-59,Female,82
Automotive,2018,60-64,Female,32
Automotive,2018,65+,Female,7
Automotive,2018,NA,Female,0
Automotive,2019,15-19,Female,9
Automotive,2019,20-24,Female,35
Automotive,2019,25-29,Female,34
Automotive,2019,30-34,Female,43
Automotive,2019,35-39,Female,38
Automotive,2019,40-44,Female,35
Automotive,2019,45-49,Female,57
Automotive,2019,50-54,Female,80
Automotive,2019,55-59,Female,72
Automotive,2019,60-64,Female,41
Automotive,2019,65+,Female,7
Automotive,2019,NA,Female,0
Chemicals/Process,2011,15-19,Female,2
Chemicals/Process,2011,20-24,Female,5
Chemicals/Process,2011,25-29,Female,18
Chemicals/Process,2011,30-34,Female,21
Chemicals/Process,2011,35-39,Female,22
Chemicals/Process,2011,40-44,Female,38
Chemicals/Process,2011,45-49,Female,47
Chemicals/Process,2011,50-54,Female,42
Chemicals/Process,2011,55-59,Female,25
Chemicals/Process,2011,60-64,Female,13
Chemicals/Process,2011,65+,Female,1
Chemicals/Process,2011,NA,Female,0
Chemicals/Process,2012,15-19,Female,1
Chemicals/Process,2012,20-24,Female,4
Chemicals/Process,2012,25-29,Female,17
Chemicals/Process,2012,30-34,Female,11
Chemicals/Process,2012,35-39,Female,16
Chemicals/Process,2012,40-44,Female,31
Chemicals/Process,2012,45-49,Female,46
Chemicals/Process,2012,50-54,Female,28
Chemicals/Process,2012,55-59,Female,32
Chemicals/Process,2012,60-64,Female,8
Chemicals/Process,2012,65+,Female,3
Chemicals/Process,2012,NA,Female,0
Chemicals/Process,2013,15-19,Female,0
Chemicals/Process,2013,20-24,Female,7
Chemicals/Process,2013,25-29,Female,17
Chemicals/Process,2013,30-34,Female,13
Chemicals/Process,2013,35-39,Female,19
Chemicals/Process,2013,40-44,Female,25
Chemicals/Process,2013,45-49,Female,34
Chemicals/Process,2013,50-54,Female,36
Chemicals/Process,2013,55-59,Female,27
Chemicals/Process,2013,60-64,Female,13
Chemicals/Process,2013,65+,Female,1
Chemicals/Process,2013,NA,Female,1
Chemicals/Process,2014,15-19,Female,1
Chemicals/Process,2014,20-24,Female,6
Chemicals/Process,2014,25-29,Female,11
Chemicals/Process,2014,30-34,Female,9
Chemicals/Process,2014,35-39,Female,25
Chemicals/Process,2014,40-44,Female,31
Chemicals/Process,2014,45-49,Female,30
Chemicals/Process,2014,50-54,Female,25
Chemicals/Process,2014,55-59,Female,30
Chemicals/Process,2014,60-64,Female,17
Chemicals/Process,2014,65+,Female,2
Chemicals/Process,2014,NA,Female,0
Chemicals/Process,2015,15-19,Female,0
Chemicals/Process,2015,20-24,Female,11
Chemicals/Process,2015,25-29,Female,13
Chemicals/Process,2015,30-34,Female,19
Chemicals/Process,2015,35-39,Female,21
Chemicals/Process,2015,40-44,Female,25
Chemicals/Process,2015,45-49,Female,28
Chemicals/Process,2015,50-54,Female,33
Chemicals/Process,2015,55-59,Female,21
Chemicals/Process,2015,60-64,Female,12
Chemicals/Process,2015,65+,Female,4
Chemicals/Process,2015,NA,Female,0
Chemicals/Process,2016,15-19,Female,0
Chemicals/Process,2016,20-24,Female,18
Chemicals/Process,2016,25-29,Female,16
Chemicals/Process,2016,30-34,Female,20
Chemicals/Process,2016,35-39,Female,17
Chemicals/Process,2016,40-44,Female,34
Chemicals/Process,2016,45-49,Female,32
Chemicals/Process,2016,50-54,Female,36
Chemicals/Process,2016,55-59,Female,34
Chemicals/Process,2016,60-64,Female,19
Chemicals/Process,2016,65+,Female,2
Chemicals/Process,2016,NA,Female,0
Chemicals/Process,2017,15-19,Female,2
Chemicals/Process,2017,20-24,Female,17
Chemicals/Process,2017,25-29,Female,21
Chemicals/Process,2017,30-34,Female,21
Chemicals/Process,2017,35-39,Female,22
Chemicals/Process,2017,40-44,Female,28
Chemicals/Process,2017,45-49,Female,30
Chemicals/Process,2017,50-54,Female,43
Chemicals/Process,2017,55-59,Female,41
Chemicals/Process,2017,60-64,Female,19
Chemicals/Process,2017,65+,Female,2
Chemicals/Process,2017,NA,Female,0
Chemicals/Process,2018,15-19,Female,5
Chemicals/Process,2018,20-24,Female,5
Chemicals/Process,2018,25-29,Female,36
Chemicals/Process,2018,30-34,Female,21
Chemicals/Process,2018,35-39,Female,25
Chemicals/Process,2018,40-44,Female,18
Chemicals/Process,2018,45-49,Female,32
Chemicals/Process,2018,50-54,Female,36
Chemicals/Process,2018,55-59,Female,43
Chemicals/Process,2018,60-64,Female,28
Chemicals/Process,2018,65+,Female,3
Chemicals/Process,2018,NA,Female,0
Chemicals/Process,2019,15-19,Female,1
Chemicals/Process,2019,20-24,Female,17
Chemicals/Process,2019,25-29,Female,23
Chemicals/Process,2019,30-34,Female,23
Chemicals/Process,2019,35-39,Female,22
Chemicals/Process,2019,40-44,Female,24
Chemicals/Process,2019,45-49,Female,39
Chemicals/Process,2019,50-54,Female,37
Chemicals/Process,2019,55-59,Female,46
Chemicals/Process,2019,60-64,Female,24
Chemicals/Process,2019,65+,Female,3
Chemicals/Process,2019,NA,Female,0
Construction,2011,15-19,Female,2
Construction,2011,20-24,Female,8
Construction,2011,25-29,Female,12
Construction,2011,30-34,Female,7
Construction,2011,35-39,Female,17
Construction,2011,40-44,Female,14
Construction,2011,45-49,Female,10
Construction,2011,50-54,Female,3
Construction,2011,55-59,Female,4
Construction,2011,60-64,Female,3
Construction,2011,65+,Female,1
Construction,2011,NA,Female,0
Construction,2012,15-19,Female,2
Construction,2012,20-24,Female,17
Construction,2012,25-29,Female,15
Construction,2012,30-34,Female,11
Construction,2012,35-39,Female,8
Construction,2012,40-44,Female,16
Construction,2012,45-49,Female,9
Construction,2012,50-54,Female,5
Construction,2012,55-59,Female,6
Construction,2012,60-64,Female,8
Construction,2012,65+,Female,1
Construction,2012,NA,Female,0
Construction,2013,15-19,Female,10
Construction,2013,20-24,Female,22
Construction,2013,25-29,Female,11
Construction,2013,30-34,Female,17
Construction,2013,35-39,Female,14
Construction,2013,40-44,Female,11
Construction,2013,45-49,Female,15
Construction,2013,50-54,Female,10
Construction,2013,55-59,Female,9
Construction,2013,60-64,Female,4
Construction,2013,65+,Female,2
Construction,2013,NA,Female,0
Construction,2014,15-19,Female,5
Construction,2014,20-24,Female,17
Construction,2014,25-29,Female,15
Construction,2014,30-34,Female,13
Construction,2014,35-39,Female,18
Construction,2014,40-44,Female,15
Construction,2014,45-49,Female,14
Construction,2014,50-54,Female,19
Construction,2014,55-59,Female,7
Construction,2014,60-64,Female,6
Construction,2014,65+,Female,3
Construction,2014,NA,Female,0
Construction,2015,15-19,Female,5
Construction,2015,20-24,Female,21
Construction,2015,25-29,Female,22
Construction,2015,30-34,Female,22
Construction,2015,35-39,Female,22
Construction,2015,40-44,Female,14
Construction,2015,45-49,Female,15
Construction,2015,50-54,Female,22
Construction,2015,55-59,Female,10
Construction,2015,60-64,Female,1
Construction,2015,65+,Female,1
Construction,2015,NA,Female,0
Construction,2016,15-19,Female,3
Construction,2016,20-24,Female,18
Construction,2016,25-29,Female,26
Construction,2016,30-34,Female,23
Construction,2016,35-39,Female,9
Construction,2016,40-44,Female,10
Construction,2016,45-49,Female,20
Construction,2016,50-54,Female,15
Construction,2016,55-59,Female,8
Construction,2016,60-64,Female,2
Construction,2016,65+,Female,2
Construction,2016,NA,Female,0
Construction,2017,15-19,Female,7
Construction,2017,20-24,Female,23
Construction,2017,25-29,Female,17
Construction,2017,30-34,Female,12
Construction,2017,35-39,Female,12
Construction,2017,40-44,Female,12
Construction,2017,45-49,Female,9
Construction,2017,50-54,Female,19
Construction,2017,55-59,Female,11
Construction,2017,60-64,Female,9
Construction,2017,65+,Female,2
Construction,2017,NA,Female,0
Construction,2018,15-19,Female,7
Construction,2018,20-24,Female,23
Construction,2018,25-29,Female,23
Construction,2018,30-34,Female,16
Construction,2018,35-39,Female,17
Construction,2018,40-44,Female,17
Construction,2018,45-49,Female,13
Construction,2018,50-54,Female,9
Construction,2018,55-59,Female,6
Construction,2018,60-64,Female,5
Construction,2018,65+,Female,5
Construction,2018,NA,Female,0
Construction,2019,15-19,Female,10
Construction,2019,20-24,Female,21
Construction,2019,25-29,Female,17
Construction,2019,30-34,Female,23
Construction,2019,35-39,Female,18
Construction,2019,40-44,Female,15
Construction,2019,45-49,Female,14
Construction,2019,50-54,Female,14
Construction,2019,55-59,Female,9
Construction,2019,60-64,Female,4
Construction,2019,65+,Female,6
Construction,2019,NA,Female,0
Education,2011,15-19,Female,27
Education,2011,20-24,Female,19
Education,2011,25-29,Female,23
Education,2011,30-34,Female,15
Education,2011,35-39,Female,22
Education,2011,40-44,Female,34
Education,2011,45-49,Female,48
Education,2011,50-54,Female,67
Education,2011,55-59,Female,53
Education,2011,60-64,Female,24
Education,2011,65+,Female,5
Education,2011,NA,Female,0
Education,2012,15-19,Female,24
Education,2012,20-24,Female,15
Education,2012,25-29,Female,32
Education,2012,30-34,Female,24
Education,2012,35-39,Female,19
Education,2012,40-44,Female,36
Education,2012,45-49,Female,44
Education,2012,50-54,Female,54
Education,2012,55-59,Female,44
Education,2012,60-64,Female,34
Education,2012,65+,Female,9
Education,2012,NA,Female,0
Education,2013,15-19,Female,30
Education,2013,20-24,Female,16
Education,2013,25-29,Female,18
Education,2013,30-34,Female,19
Education,2013,35-39,Female,27
Education,2013,40-44,Female,41
Education,2013,45-49,Female,45
Education,2013,50-54,Female,50
Education,2013,55-59,Female,53
Education,2013,60-64,Female,31
Education,2013,65+,Female,14
Education,2013,NA,Female,0
Education,2014,15-19,Female,28
Education,2014,20-24,Female,30
Education,2014,25-29,Female,19
Education,2014,30-34,Female,25
Education,2014,35-39,Female,23
Education,2014,40-44,Female,40
Education,2014,45-49,Female,38
Education,2014,50-54,Female,76
Education,2014,55-59,Female,60
Education,2014,60-64,Female,36
Education,2014,65+,Female,5
Education,2014,NA,Female,0
Education,2015,15-19,Female,28
Education,2015,20-24,Female,20
Education,2015,25-29,Female,16
Education,2015,30-34,Female,18
Education,2015,35-39,Female,20
Education,2015,40-44,Female,30
Education,2015,45-49,Female,46
Education,2015,50-54,Female,64
Education,2015,55-59,Female,45
Education,2015,60-64,Female,32
Education,2015,65+,Female,9
Education,2015,NA,Female,0
Education,2016,15-19,Female,29
Education,2016,20-24,Female,27
Education,2016,25-29,Female,25
Education,2016,30-34,Female,33
Education,2016,35-39,Female,31
Education,2016,40-44,Female,33
Education,2016,45-49,Female,46
Education,2016,50-54,Female,58
Education,2016,55-59,Female,42
Education,2016,60-64,Female,29
Education,2016,65+,Female,9
Education,2016,NA,Female,0
Education,2017,15-19,Female,29
Education,2017,20-24,Female,22
Education,2017,25-29,Female,19
Education,2017,30-34,Female,30
Education,2017,35-39,Female,26
Education,2017,40-44,Female,34
Education,2017,45-49,Female,37
Education,2017,50-54,Female,63
Education,2017,55-59,Female,52
Education,2017,60-64,Female,35
Education,2017,65+,Female,16
Education,2017,NA,Female,0
Education,2018,15-19,Female,30
Education,2018,20-24,Female,24
Education,2018,25-29,Female,30
Education,2018,30-34,Female,21
Education,2018,35-39,Female,27
Education,2018,40-44,Female,30
Education,2018,45-49,Female,50
Education,2018,50-54,Female,75
Education,2018,55-59,Female,64
Education,2018,60-64,Female,34
Education,2018,65+,Female,21
Education,2018,NA,Female,1
Education,2019,15-19,Female,34
Education,2019,20-24,Female,40
Education,2019,25-29,Female,32
Education,2019,30-34,Female,36
Education,2019,35-39,Female,35
Education,2019,40-44,Female,51
Education,2019,45-49,Female,41
Education,2019,50-54,Female,57
Education,2019,55-59,Female,63
Education,2019,60-64,Female,53
Education,2019,65+,Female,20
Education,2019,NA,Female,0
Electrical,2011,15-19,Female,1
Electrical,2011,20-24,Female,6
Electrical,2011,25-29,Female,7
Electrical,2011,30-34,Female,9
Electrical,2011,35-39,Female,3
Electrical,2011,40-44,Female,4
Electrical,2011,45-49,Female,10
Electrical,2011,50-54,Female,12
Electrical,2011,55-59,Female,4
Electrical,2011,60-64,Female,0
Electrical,2011,65+,Female,0
Electrical,2011,NA,Female,0
Electrical,2012,15-19,Female,0
Electrical,2012,20-24,Female,2
Electrical,2012,25-29,Female,7
Electrical,2012,30-34,Female,7
Electrical,2012,35-39,Female,5
Electrical,2012,40-44,Female,4
Electrical,2012,45-49,Female,7
Electrical,2012,50-54,Female,6
Electrical,2012,55-59,Female,3
Electrical,2012,60-64,Female,1
Electrical,2012,65+,Female,0
Electrical,2012,NA,Female,0
Electrical,2013,15-19,Female,0
Electrical,2013,20-24,Female,2
Electrical,2013,25-29,Female,6
Electrical,2013,30-34,Female,12
Electrical,2013,35-39,Female,6
Electrical,2013,40-44,Female,1
Electrical,2013,45-49,Female,4
Electrical,2013,50-54,Female,4
Electrical,2013,55-59,Female,2
Electrical,2013,60-64,Female,4
Electrical,2013,65+,Female,3
Electrical,2013,NA,Female,0
Electrical,2014,15-19,Female,0
Electrical,2014,20-24,Female,1
Electrical,2014,25-29,Female,4
Electrical,2014,30-34,Female,4
Electrical,2014,35-39,Female,6
Electrical,2014,40-44,Female,5
Electrical,2014,45-49,Female,5
Electrical,2014,50-54,Female,6
Electrical,2014,55-59,Female,2
Electrical,2014,60-64,Female,2
Electrical,2014,65+,Female,1
Electrical,2014,NA,Female,0
Electrical,2015,15-19,Female,0
Electrical,2015,20-24,Female,4
Electrical,2015,25-29,Female,7
Electrical,2015,30-34,Female,6
Electrical,2015,35-39,Female,2
Electrical,2015,40-44,Female,6
Electrical,2015,45-49,Female,6
Electrical,2015,50-54,Female,7
Electrical,2015,55-59,Female,2
Electrical,2015,60-64,Female,3
Electrical,2015,65+,Female,1
Electrical,2015,NA,Female,0
Electrical,2016,15-19,Female,2
Electrical,2016,20-24,Female,4
Electrical,2016,25-29,Female,9
Electrical,2016,30-34,Female,9
Electrical,2016,35-39,Female,5
Electrical,2016,40-44,Female,5
Electrical,2016,45-49,Female,6
Electrical,2016,50-54,Female,6
Electrical,2016,55-59,Female,9
Electrical,2016,60-64,Female,2
Electrical,2016,65+,Female,1
Electrical,2016,NA,Female,0
Electrical,2017,15-19,Female,2
Electrical,2017,20-24,Female,1
Electrical,2017,25-29,Female,3
Electrical,2017,30-34,Female,3
Electrical,2017,35-39,Female,4
Electrical,2017,40-44,Female,4
Electrical,2017,45-49,Female,8
Electrical,2017,50-54,Female,3
Electrical,2017,55-59,Female,4
Electrical,2017,60-64,Female,5
Electrical,2017,65+,Female,0
Electrical,2017,NA,Female,0
Electrical,2018,15-19,Female,0
Electrical,2018,20-24,Female,6
Electrical,2018,25-29,Female,6
Electrical,2018,30-34,Female,4
Electrical,2018,35-39,Female,5
Electrical,2018,40-44,Female,5
Electrical,2018,45-49,Female,5
Electrical,2018,50-54,Female,8
Electrical,2018,55-59,Female,4
Electrical,2018,60-64,Female,3
Electrical,2018,65+,Female,2
Electrical,2018,NA,Female,0
Electrical,2019,15-19,Female,1
Electrical,2019,20-24,Female,3
Electrical,2019,25-29,Female,8
Electrical,2019,30-34,Female,7
Electrical,2019,35-39,Female,4
Electrical,2019,40-44,Female,7
Electrical,2019,45-49,Female,7
Electrical,2019,50-54,Female,10
Electrical,2019,55-59,Female,7
Electrical,2019,60-64,Female,7
Electrical,2019,65+,Female,1
Electrical,2019,NA,Female,0
Food,2011,15-19,Female,4
Food,2011,20-24,Female,14
Food,2011,25-29,Female,29
Food,2011,30-34,Female,32
Food,2011,35-39,Female,44
Food,2011,40-44,Female,52
Food,2011,45-49,Female,75
Food,2011,50-54,Female,61
Food,2011,55-59,Female,59
Food,2011,60-64,Female,14
Food,2011,65+,Female,7
Food,2011,NA,Female,0
Food,2012,15-19,Female,7
Food,2012,20-24,Female,22
Food,2012,25-29,Female,26
Food,2012,30-34,Female,29
Food,2012,35-39,Female,35
Food,2012,40-44,Female,44
Food,2012,45-49,Female,59
Food,2012,50-54,Female,63
Food,2012,55-59,Female,42
Food,2012,60-64,Female,22
Food,2012,65+,Female,7
Food,2012,NA,Female,0
Food,2013,15-19,Female,4
Food,2013,20-24,Female,23
Food,2013,25-29,Female,31
Food,2013,30-34,Female,28
Food,2013,35-39,Female,34
Food,2013,40-44,Female,46
Food,2013,45-49,Female,54
Food,2013,50-54,Female,55
Food,2013,55-59,Female,51
Food,2013,60-64,Female,37
Food,2013,65+,Female,4
Food,2013,NA,Female,0
Food,2014,15-19,Female,7
Food,2014,20-24,Female,20
Food,2014,25-29,Female,18
Food,2014,30-34,Female,18
Food,2014,35-39,Female,31
Food,2014,40-44,Female,28
Food,2014,45-49,Female,55
Food,2014,50-54,Female,54
Food,2014,55-59,Female,41
Food,2014,60-64,Female,20
Food,2014,65+,Female,5
Food,2014,NA,Female,0
Food,2015,15-19,Female,9
Food,2015,20-24,Female,20
Food,2015,25-29,Female,16
Food,2015,30-34,Female,24
Food,2015,35-39,Female,30
Food,2015,40-44,Female,46
Food,2015,45-49,Female,40
Food,2015,50-54,Female,51
Food,2015,55-59,Female,49
Food,2015,60-64,Female,23
Food,2015,65+,Female,5
Food,2015,NA,Female,0
Food,2016,15-19,Female,7
Food,2016,20-24,Female,20
Food,2016,25-29,Female,31
Food,2016,30-34,Female,27
Food,2016,35-39,Female,31
Food,2016,40-44,Female,40
Food,2016,45-49,Female,45
Food,2016,50-54,Female,62
Food,2016,55-59,Female,38
Food,2016,60-64,Female,30
Food,2016,65+,Female,9
Food,2016,NA,Female,0
Food,2017,15-19,Female,9
Food,2017,20-24,Female,33
Food,2017,25-29,Female,24
Food,2017,30-34,Female,24
Food,2017,35-39,Female,31
Food,2017,40-44,Female,43
Food,2017,45-49,Female,61
Food,2017,50-54,Female,68
Food,2017,55-59,Female,61
Food,2017,60-64,Female,25
Food,2017,65+,Female,4
Food,2017,NA,Female,0
Food,2018,15-19,Female,12
Food,2018,20-24,Female,39
Food,2018,25-29,Female,31
Food,2018,30-34,Female,37
Food,2018,35-39,Female,34
Food,2018,40-44,Female,53
Food,2018,45-49,Female,65
Food,2018,50-54,Female,59
Food,2018,55-59,Female,63
Food,2018,60-64,Female,35
Food,2018,65+,Female,8
Food,2018,NA,Female,0
Food,2019,15-19,Female,15
Food,2019,20-24,Female,29
Food,2019,25-29,Female,31
Food,2019,30-34,Female,34
Food,2019,35-39,Female,44
Food,2019,40-44,Female,45
Food,2019,45-49,Female,55
Food,2019,50-54,Female,71
Food,2019,55-59,Female,61
Food,2019,60-64,Female,36
Food,2019,65+,Female,8
Food,2019,NA,Female,1
Forestry,2011,15-19,Female,0
Forestry,2011,20-24,Female,3
Forestry,2011,25-29,Female,2
Forestry,2011,30-34,Female,1
Forestry,2011,35-39,Female,1
Forestry,2011,40-44,Female,0
Forestry,2011,45-49,Female,0
Forestry,2011,50-54,Female,1
Forestry,2011,55-59,Female,2
Forestry,2011,60-64,Female,2
Forestry,2011,65+,Female,0
Forestry,2011,NA,Female,0
Forestry,2012,15-19,Female,1
Forestry,2012,20-24,Female,1
Forestry,2012,25-29,Female,2
Forestry,2012,30-34,Female,0
Forestry,2012,35-39,Female,0
Forestry,2012,40-44,Female,0
Forestry,2012,45-49,Female,2
Forestry,2012,50-54,Female,1
Forestry,2012,55-59,Female,0
Forestry,2012,60-64,Female,0
Forestry,2012,65+,Female,1
Forestry,2012,NA,Female,0
Forestry,2013,15-19,Female,0
Forestry,2013,20-24,Female,4
Forestry,2013,25-29,Female,0
Forestry,2013,30-34,Female,1
Forestry,2013,35-39,Female,4
Forestry,2013,40-44,Female,1
Forestry,2013,45-49,Female,0
Forestry,2013,50-54,Female,1
Forestry,2013,55-59,Female,2
Forestry,2013,60-64,Female,0
Forestry,2013,65+,Female,0
Forestry,2013,NA,Female,0
Forestry,2014,15-19,Female,0
Forestry,2014,20-24,Female,1
Forestry,2014,25-29,Female,0
Forestry,2014,30-34,Female,0
Forestry,2014,35-39,Female,0
Forestry,2014,40-44,Female,0
Forestry,2014,45-49,Female,1
Forestry,2014,50-54,Female,0
Forestry,2014,55-59,Female,1
Forestry,2014,60-64,Female,0
Forestry,2014,65+,Female,0
Forestry,2014,NA,Female,0
Forestry,2015,15-19,Female,3
Forestry,2015,20-24,Female,3
Forestry,2015,25-29,Female,1
Forestry,2015,30-34,Female,2
Forestry,2015,35-39,Female,1
Forestry,2015,40-44,Female,1
Forestry,2015,45-49,Female,0
Forestry,2015,50-54,Female,0
Forestry,2015,55-59,Female,1
Forestry,2015,60-64,Female,1
Forestry,2015,65+,Female,1
Forestry,2015,NA,Female,0
Forestry,2016,15-19,Female,2
Forestry,2016,20-24,Female,2
Forestry,2016,25-29,Female,3
Forestry,2016,30-34,Female,2
Forestry,2016,35-39,Female,1
Forestry,2016,40-44,Female,5
Forestry,2016,45-49,Female,0
Forestry,2016,50-54,Female,2
Forestry,2016,55-59,Female,0
Forestry,2016,60-64,Female,0
Forestry,2016,65+,Female,1
